ArttÄ±rÄ±labilir Azami Bellek,Arttırılabilir Azami Bellek,BaÄŸlantÄ±lar,BaÄŸlantÄ±lar (Ä°kincil),Bağlantılar,Bağlantılar (İkincil),Cihaz AÄŸÄ±rlÄ±ÄŸÄ±,Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran KartÄ±,Ekran KartÄ± Bellek Tipi,Ekran KartÄ± HafÄ±zasÄ±,Ekran KartÄ± Tipi,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme HÄ±zÄ±,Ekran Yenileme Hızı,Ekran Özelliği,Garanti SÃ¼resi,Garanti Süresi,Garanti Tipi,Görüntü Kalitesi,HDMI,Hard Disk Kapasitesi,Kapasite,Klavye,KullanÄ±m AmacÄ±,Kullanım Amacı,Maksimum Ä°ÅŸlemci HÄ±zÄ± (GHz),Maksimum İşlemci Hızı (GHz),Okula DÃ¶nÃ¼ÅŸ,Okula Dönüş,Optik SÃ¼rÃ¼cÃ¼ Tipi,Optik Sürücü Tipi,Panel Tipi,Ram (Sistem BelleÄŸi),Ram (Sistem BelleÄŸi) Tipi,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,SSD Teknolojisi,Soket Tipi,Temel Ä°ÅŸlemci HÄ±zÄ± (GHz),Temel İşlemci Hızı (GHz),Ã‡Ã¶zÃ¼nÃ¼rlÃ¼k,Ã‡Ã¶zÃ¼nÃ¼rlÃ¼k StandartÄ±,Ä°ÅŸlemci Modeli,Ä°ÅŸlemci Nesli,Ä°ÅŸlemci Tipi,Ä°ÅŸlemci Ã‡ekirdek SayÄ±sÄ±,Ä°ÅŸletim Sistemi,ÅžarjlÄ± KullanÄ±m SÃ¼resi,Çözünürlük,Çözünürlük Standartı,İşlemci Frekansı,İşlemci Modeli,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi,Şarjlı Kullanım Süresi,url,price
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,24 GB,DDR4,Gri,1 TB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-24-gb-1-tbssd-2gb-mx330-w11-pro-14-n4030vn3400emeabt143-p-665691827,"16.609,39 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,1 TB,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,20 GB,DDR4,Gri,2 TB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-20gb-1-thdd-2-tbssd-2gb-mx330-14-w11-pron4030vn3400emeabt192-p-686414855,"18.763,07 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,1 TB,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,16 GB,DDR4,Gri,1 TB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-16-gb-1-tbhdd-1-tbssd-2gb-mx330-w10-uyumlu-home-14-n4030vn3400emeabt67-p-665731148,"16.501,70 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,1 TB,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,32 GB,DDR4,Gri,512 GB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-32-gb-1-tbhdd-512-gb-ssd-2gb-mx330-w10-home-uyumlu-14-n4030vn3400emeabt59-p-665731092,"17.004,23 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,1 TB,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,16 GB,DDR4,Gri,2 TB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-16-gb-1-tbhdd-2-tbssd-2gb-mx330-w10-home-uyumlu-14-n4030vn3400emeabt77-p-665730954,"18.045,18 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,16 GB,DDR4,Gri,2 TB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-16-gb-2-tbssd-2gb-mx330-w11-pro-14-uyumlu-n4030vn3400emeabt152-p-665730937,"17.542,65 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,1 TB,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,24 GB,DDR4,Gri,1 TB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-24-gb-1-tbhdd-1-tbssd-2gb-mx330-w10-home-14-n4030vn3400emeabt68-p-665694834,"17.111,91 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,1 TB,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,16 GB,DDR4,Gri,512 GB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-16-gb-1-tbhdd-512-gb-ssd-2gb-mx330-w1o-pro-14-n4030vn3400emeabt97-p-665694016,"16.070,96 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,1 TB,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,16 GB,DDR4,Gri,512 GB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-16-gb-1-tbhdd-512-gb-ssd-2gb-mx330-w11-pro-14-n4030vn3400emeabt137-p-665693926,"16.250,44 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,1 TB,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,32 GB,DDR4,Gri,1 TB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-32-gb-1-tbhdd-1-tbssd-2gb-mx330-w11-pro-14-n4030vn3400emeabt149-p-665693604,"17.973,39 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,1 TB,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,12 GB,DDR4,Gri,1 TB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-12gb-1-tbhdd-1-tbssd-2gb-mx330-w11-pro-14-n4030vn3400emeabt146-p-665693603,"16.537,60 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,32 GB,DDR4,Gri,1 TB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-32-gb-1-tbssd-2gb-mx330-w1o-pro-14-n4030vn3400emeabt104-p-665693601,"16.932,44 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,1 TB,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,32 GB,DDR4,Gri,1 TB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-32-gb-1-tbhdd-1-tbssd-2gb-mx330-w10-home-14-n4030vn3400emeabt69-p-665693592,"17.614,44 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,1 TB,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,32 GB,DDR4,Gri,1 TB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-32-gb-1-tbhdd-1-tbssd-2gb-mx330-w1o-pro-14-n4030vn3400emeabt109-p-665693580,"17.793,91 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,1 TB,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,12 GB,DDR4,Gri,2 TB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-12gb-1-tbhdd-2-tbssd-2gb-mx330-freedos-14-n4030vn3400emeabt36-p-665693554,"16.465,81 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,20 GB,DDR4,Gri,2 TB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-20gb-2-tbssd-2gb-mx330-14-w10-home-n4030vn3400emeabt175-p-665693550,"17.542,65 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,1 TB,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,12 GB,DDR4,Gri,1 TB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-12gb-1-tbhdd-1-tbssd-2gb-mx330-w10-home-14-n4030vn3400emeabt66-p-665693531,"16.178,65 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,12 GB,DDR4,Gri,2 TB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-12gb-2-tbssd-2gb-mx330-w1o-pro-14-n4030vn3400emeabt111-p-665693527,"17.040,12 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,24 GB,DDR4,Gri,1 TB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-24-gb-1-tbssd-2gb-mx330-w1o-pro-14-n4030vn3400emeabt103-p-665689301,"16.429,91 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,24 GB,DDR4,Gri,2 TB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-24-gb-2-tbssd-2gb-mx330-w11-pro-14-n4030vn3400emeabt153-p-665686946,"18.152,86 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,1 TB,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,24 GB,DDR4,Gri,1 TB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-24-gb-1-tbhdd-1-tbssd-2gb-mx330-w1o-pro-14-n4030vn3400emeabt108-p-665685441,"17.291,39 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,1 TB,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,24 GB,DDR4,Gri,2 TB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-24-gb-1-tbhdd-2-tbssd-2gb-mx330-w11-pro-14-n4030vn3400emeabt158-p-665684855,"19.014,34 TL"
,,,,USB-C,,,2 kg ve Altı,Yok,16 inç,,,,,M3,Dahili,Paylaşımlı,Dahili,,120 Hz,,,2 Yıl,Apple Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Ofis - İş,,,,,,,,,,36 GB,Birleşik Bellek,Gümüş,512 GB,,,,,,,,,,,,,3024 x 1964,Retina,,M3,3. Nesil,M3,12,Mac Os,6 Saat ve Üstü,https://www.trendyol.com//apple/macbook-pro-m3-16-gumus-36gb-512gb-ssd-mrw63tu-a-p-777662378,108.399 TL
,,,,Bluetooth,,,2 - 4 kg,Yok,"17,3 inç",,,,,Nvidia GeForce RTX 3080,GDDR6,8 GB,Dahili,,360 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,Yok,Q Türkçe,,Oyun,,,,,,Yok,IPS,,,32 GB,DDR4,Siyah,1 TB,,,,3.2,,,,,,,,,1920 x 1080,Full HD (FHD),,5800H,5. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//acer/nitro-5-an517-41-amd-ryzen-7-5800h-32gb-1tb-sssd-rtx3080-360hz-17-3-fhd-freedos-nh-qbhey-001-p-142171886,59.999 TL
,,,,HDMI - USB,,,2 - 4 kg,Yok,"16,1 inç",,,,,Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,,144 Hz,,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Oyun,,,,,,,IPS,,,16 GB,DDR5,Siyah,512 GB,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,13420H,13. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//hp/omen-16-wd0001nt-7x9y4ea-i5-13420h-16gb-ram-512gb-ssd-6gb-rtx-4050-16-1-fhd-freedos-p-761172692,37.999 TL
,,,,HDMI - USB,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,3.8,,,,Yok,TN,,,4 GB,DDR5,Beyaz,256 GB,,,,3.8,,,,,,,,,1920 x 1080,Full HD (FHD),,N305,3. Nesil,Intel Core i3,8,Windows,4-6 Saat,https://www.trendyol.com//acer/a315-510-i3-n305-4gb-ram-256gb-ssd-fhd-15-6-w11h-laptop-nx-kdhey-002-csr4-sirt-canta-hediyeli-p-782353313,9.999 TL
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,24 GB,DDR4,Gri,256 GB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//lenovo/dell-vostro-3400-core-i5-1135g7-24-gb-256-gb-ssd-2gb-mx330-freedos-14-n4030vn3400emeabt3-p-665658950,"13.917,28 TL"
,,,,HDMI - USB,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,3.8,,,,Yok,TN,,,4 GB,DDR5,Beyaz,128 GB,,,,3.8,,,,,,,,,1920 x 1080,Full HD (FHD),,N305,3. Nesil,Intel Core i3,8,Windows,4-6 Saat,https://www.trendyol.com//acer/a315-510-i3-n305-4gb-ram-128gb-ssd-fhd-15-6-w11h-laptop-nx-kdhey-002-csr3-sirt-canta-hediyeli-p-782355599,9.499 TL
,,,,HDMI - USB,,,2 kg ve Altı,Yok,14 inç,,,,,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,2.8,,,,Yok,TN,,,8 GB,DDR4,Gri,256 GB,,,,1.1,,,,,,,,,1920 x 1080,Full HD (FHD),,N4020,Belirtilmemiş,Intel Celeron,2,Windows,4-6 Saat,https://www.trendyol.com//asus/x415ma-ek385w-intel-celeron-n4020-8gb-256gb-ssd-w11h-14-fhd-bilgisayar-canta-hediyeli-p-783950681,9.699 TL
,,,,HDMI - USB,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ofis - İş,,,,,,,,,,16 GB,DDR4,Gri,512 GB,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,1235U,12. Nesil,Intel Core i5,10,Windows,,https://www.trendyol.com//lenovo/v15-g3-i5-1235u-16gb-512gb-ssd-w11pro-15-6-fhd-notebook-82tt00a5tx0343-mouse-p-743771641,16.970 TL
,,,,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmasız),,Ofis - İş,,4.4,,,,,IPS,,,8 GB,DDR4,Gri,500 GB,Gen 4,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,1235U,12. Nesil,Intel Core i5,10,Windows,,https://www.trendyol.com//casper/nirvana-c550-1235-8v00t-g-f-intel-core-i5-1235u-8gb-ram-500-gb-nvme-ssd-gen4-windows-11-home-p-740918849,16.699 TL
,,,,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ofis - İş,,4.7,,,,,IPS,,,40 GB,DDR4,Gümüş,1 TB,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,1255U,12. Nesil,Intel Core i7,10,Windows,,https://www.trendyol.com//asus/vivobook-15-x1504za74-bq441a74-intel-core-i7-1255u-40gb-1tb-ssd-windows-11-pro-15-6-p-779321769,"26.788,70 TL"
,12 GB,,,HDMI - USB,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Nvidia GeForce MX350,GDDR5,2 GB,Harici,,60 Hz,,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ev - Okul,,4.5,,,,,TN,,,8 GB,DDR4,Gri,512 GB,,,,2.5,,,,,,,,,1920 x 1080,Full HD (FHD),,1155G7,11. Nesil,Intel Core i5,4,Free Dos,4-6 Saat,https://www.trendyol.com//lenovo/ip-3-15itl6-core-i5-1155g7-8gb-512gb-ssd-nvidia-geforce-mx350-freedos-15-6-fhd-82h803eytx-p-739802772,15.499 TL
,16 GB,,,Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ofis - İş,,4.5,,,,,,,,8 GB,LPDDR4,Bej,256 GB,Gen 3,,,2.4,,,,,,,,,1920 x 1080,FHD+,,1155G7,11. Nesil,Intel Core i5,4,Windows,4-6 Saat,https://www.trendyol.com//lenovo/ideapad-3-11-nesil-core-i5-1155g7-8gb-256-ssd-15-6inc-fullhd-windows11-p-748132537,14.249 TL
,,,,Bluetooth,,,2 - 4 kg,Yok,14 inç,,,,,AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,,90 Hz,,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ev - Okul,,,,,,,,,,8 GB,DDR4,Gümüş,256 GB,,,,,,,,,,,,,1920 x 1280,Full HD (FHD),,7730U,10. Nesil,AMD Ryzen 7,2,Windows,,https://www.trendyol.com//hp/14-em0002nt-ryzen-7-7730u-8gb-256gb-amd-radeon-graphics-14-0-w11-7p6e0ea-jet-black-notebook-p-743231089,13.599 TL
,,,,,,,2 - 4 kg,Var,10 inç,,,,,AMD,DDR,,AMD Radeon RX5600M,,,,,,Casper Türkiye Garantili,,,,1 GB,Q Türkçe,,Ev - Okul,,,,,,DVD Yazıcı,,,,4 GB,,Beyaz,Yok,,,,,,,,,,,,,1280 x 800,Full HD (FHD),,1000M,,AMD,,Windows,,https://www.trendyol.com//lenovo/ideapad-81vu0044tx-celeron-n4020-4gb-128gb-ssd-14-tumlesik-vga-dos-cam-p-81381494,9.499 TL
,32 GB,,,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,,144 Hz,,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Oyun,,4.5,,,,,IPS,,,32 GB,DDR4,Siyah,1 TB,,,,4,,,,,,,,,1920 x 1080,QHD,,11400H,11. Nesil,Intel Core i5,6,Windows,,https://www.trendyol.com//acer/nitro5-intel-core-i5-11400h-32gb-1tb-4gb-rtx3050-15-6-freedos-gaming-pc-acer-turkiye-garantili-p-781613968,28.000 TL
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,8 GB,DDR4,Gri,256 GB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-8-gb-256-gb-ssd-2gb-mx330-w11-pro-14-n4030vn3400emeabt120-p-666013991,"14.240,33 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,24 GB,DDR4,Gri,1 TB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//dell/vostro-3400-core-i5-1135g7-24-gb-1-tbssd-2gb-mx330-freedos-14-n4030vn3400emeabt23-p-666013965,"14.994,12 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,12 GB,DDR4,Gri,1 TB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//dell/vostro-3400-core-i5-1135g7-12gb-1-tbssd-2gb-mx330-freedos-14-n4030vn3400emeabt21-p-665693638,"14.060,86 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,1 TB,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,12 GB,DDR4,Gri,512 GB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//dell/vostro-3400-core-i5-1135g7-12gb-1-tbhdd-512-gb-ssd-2gb-mx330-freedos-14-n4030vn3400emeabt16-p-665693632,"14.312,12 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,1 TB,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,20 GB,DDR4,Gri,256 GB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-20gb-1-tbhdd-256-gb-ssd-2gb-mx330-dos-14-n4030vn3400emeabt162-p-665693627,"14.527,49 TL"
